title,genre_id,platform_id,publisher_id,metacritic_score,release_date
Duke Nukem Forever,2,1,34,44,2011-06-14
PokéPark 2: Wonders Beyond,3,8,57,65,2012-02-27
Rockstar Games presents Table Tennis,4,4,1,81,2006-05-22
LEGO City Undercover,10,2,33,80,2017-04-04
Wall-E,10,3,32,75,2008-06-24
Spectrobes,5,10,36,62,2007-03-06
Zone of the Enders,6,3,27,75,2001-03-26
FIFA 19,4,24,4,59,2018-09-28
Madden NFL 06,4,7,3,79,2005-09-20
Tom Clancy's Rainbow Six: Vegas,2,7,8,58,2007-06-12
Capcom vs. SNK 2: Mark of the Millennium 2001,9,3,22,79,2001-11-06
Turok,2,4,124,66,2008-02-05
Disney Infinity 2.0: Marvel Super Heroes,3,2,36,80,2014-09-23
Kane & Lynch: Dead Men,2,1,18,68,2007-11-13
Coded Arms,2,7,27,61,2005-07-06
Drawn to Life: The Next Chapter,14,8,32,58,2009-10-27
WWE SmackDown vs. Raw 2009,9,7,32,79,2008-11-09
The Lord of the Rings: Conquest,1,1,4,58,2009-01-13
Genji: Days of the Blade,1,1,9,50,2006-11-14
The Amazing Spider-Man (2012),3,4,2,68,2012-06-26
Ace Combat: Assault Horizon,1,1,54,75,2011-10-11
X-Men Origins: Wolverine - Uncaged Edition,1,1,2,70,2009-05-01
Sega Superstars Tennis,4,10,21,62,2008-03-18
Red Faction: Guerrilla,2,1,32,86,2009-06-02
Marvel: Ultimate Alliance 2,5,1,2,78,2009-09-15
Resonance of Fate,5,1,21,75,2010-03-16
Tales of Vesperia,5,4,54,81,2008-08-26
Need for Speed (2015),7,5,4,67,2015-11-03
Mortal Kombat: Unchained,9,7,39,70,2006-11-15
The Godfather II,11,1,4,64,2009-04-07
Sonic Forces,10,24,21,54,2017-11-07
Need for Speed: Payback,7,5,4,59,2017-11-10
WWE SmackDown vs. Raw 2010,9,8,32,78,2009-10-20
Katamari Damacy,14,3,12,85,2004-09-21
Brink,2,1,7,71,2011-05-10
Final Fantasy XIII-2,5,4,17,79,2012-01-31
Star Ocean: The Last Hope International,5,1,17,81,2010-02-09
NCAA Football 07,4,4,4,80,2006-07-18
MLB 10: The Show,4,1,9,86,2010-03-02
NHL 11,4,4,3,88,2010-09-07
Madden NFL 11,4,8,3,68,2010-08-10
MLB 14 The Show,4,2,9,83,2014-05-06
Crysis 2,2,6,4,87,2011-03-22
MLB 09: The Show,4,1,9,89,2009-03-03
Indiana Jones and the Staff of Kings,1,8,13,51,2009-06-09
Monster Hunter Generations Ultimate,1,24,22,77,2018-08-28
XCOM: Enemy Unknown,13,6,34,90,2012-10-09
Blur,7,1,2,83,2010-05-25
F1 2011,7,4,73,85,2011-09-20
Mx vs. ATV Reflex,7,4,32,74,2009-12-01
James Bond 007: Agent Under Fire,2,23,4,75,2002-03-13
Rabbids Go Home,10,10,8,88,2009-11-03
Kirby: Canvas Curse,10,10,57,89,2005-06-13
Battlefield: Bad Company 2,2,6,4,88,2010-03-02
James Cameron's Avatar: The Game,1,8,8,59,2009-12-01
Tiger Woods PGA Tour 07,4,3,3,78,2006-10-10
Madden NFL 10,4,8,3,75,2009-08-14
Madden NFL 08,4,7,3,73,2007-08-14
Madden NFL 09,4,7,3,69,2008-08-12
Blast Corps,1,19,57,91,1997-02-28
Virtua Fighter 4: Evolution,9,3,21,89,2003-08-13
Mortal Kombat (2011),9,17,33,88,2012-05-02
Godzilla: Destroy All Monsters Melee,9,23,23,75,2002-10-08
Yu-Gi-Oh! The Falsebound Kingdom,13,23,27,44,2003-11-04
The LEGO Movie Videogame,3,2,33,60,2014-02-07
Astro Bot Rescue Mission,10,2,50,85,2018-10-02
Spyro: Enter the Dragonfly,10,23,24,50,2002-11-08
Catherine,14,1,67,79,2011-07-26
Conker: Live And Reloaded,3,14,5,81,2005-06-21
DiRT 3,7,4,73,91,2011-05-24
South Park,2,9,35,17,1999-09-30
Doom 3: Resurrection of Evil,2,14,2,82,2005-10-05
Plants vs Zombies: Garden Warfare,2,5,4,76,2014-02-25
LEGO Harry Potter: Years 1-4,11,7,15,75,2010-06-29
Monster Hunter 3 Ultimate,5,27,22,87,2013-03-19
F-14 Tomcat,1,12,14,69,2001-09-02
Mafia,1,3,130,65,2004-01-28
Spider-Man 2,1,7,2,64,2005-03-15
TimeSplitters 2,2,3,18,91,2002-10-09
Driver: San Francisco,7,4,8,81,2011-09-06
The Sims: Medieval,6,6,4,72,2011-03-22
LEGO Rock Band,8,8,15,68,2009-11-03
Rocksmith 2014,12,6,8,90,2016-10-04
Monster Hunter Stories,5,25,22,81,2017-09-08
RIFT,5,6,59,83,2011-03-01
Jade Empire,5,14,5,90,2005-04-12
Chocobo's Dungeon 2,5,9,101,62,1999-11-30
Advance Wars,13,12,57,94,2001-09-09
Tony Hawk's Underground,4,23,2,90,2003-10-27
FIFA Soccer 11,4,10,3,70,2010-09-28
Ape Escape: On the Loose,10,7,9,66,2005-03-22
Disney's Chicken Little,10,12,41,79,2005-10-20
Ace Attorney Investigations: Miles Edgeworth,11,10,22,77,2010-02-16
NHL 12,4,4,3,88,2011-09-13
Classic NES Series: Zelda II: The Adventure of Link,11,12,57,66,2004-10-25
Madden NFL 2005,4,23,3,92,2004-08-09
James Bond 007: Blood Stone,1,1,2,62,2010-11-02
Transformers: Revenge of the Fallen,1,1,2,65,2009-06-23
Mortal Kombat: Shaolin Monks,1,3,39,80,2005-09-16
MotionSports,4,4,8,41,2010-11-04
Rayman Legends,10,24,8,45,2017-09-12
Kirby's Dream Collection: Special Edition,10,8,57,80,2012-09-16
The Sly Collection,10,1,9,87,2010-11-09
Mario Party: The Top 100,16,25,57,50,2017-11-10
Dragon Ball Z: Budokai,9,23,23,68,2003-10-28
Fortnite,2,24,33,85,2018-11-16
Halo 2 Multiplayer Map Pack,2,14,5,86,2005-07-05
Metal Gear Solid: Portable Ops Plus,1,7,27,69,2007-11-13
The Lord of the Rings: The Return of the King,1,23,4,87,2003-11-05
Top Spin 4,4,1,31,82,2011-03-15
X-Men Origins: Wolverine - Uncaged Edition,1,4,2,71,2009-05-01
MX vs. ATV Unleashed: On the Edge,7,7,32,73,2006-02-27
IL-2 Sturmovik: Birds of Prey,6,1,56,80,2009-09-08
The Evil Within,8,5,7,79,2014-10-14
Bushido Blade 2,9,9,101,75,1998-02-28
NHL 13,4,4,4,82,2012-09-11
Baldur's Gate: Dark Alliance II,5,3,112,78,2004-01-20
F1 2015,7,2,73,59,2015-07-21
.hack//Mutation Part 2,5,3,72,75,2003-05-07
Iron Man,1,1,21,51,2008-05-02
Star Wars: Masters of Teras Kasi,1,9,13,68,1997-10-31
Rayman Legends,10,27,8,95,2013-09-03
Suikoden II,5,9,27,85,1999-09-29
Test Drive Unlimited 2,7,4,23,68,2011-02-08
Hot Shots Golf: Open Tee 2,4,7,9,80,2008-06-03
Madden NFL 10,4,7,3,80,2009-08-14
Mass Effect,5,6,4,91,2008-05-28
Diablo III: Eternal Collection,1,24,25,90,2018-11-02
Contra: Legacy of War,2,9,27,65,1996-11-30
100 Classic Books,8,10,57,40,2010-06-14
Unreal Tournament III,2,1,39,86,2007-12-11
Wild ARMs 2,5,9,9,65,2000-04-30
Need for Speed: Shift 2 Unleashed,7,1,4,84,2011-03-29
The Sims 3,6,10,4,75,2010-10-26
Blazing Angels: Squadrons of WWII,6,1,8,68,2006-12-12
Call of Duty: Ghosts,2,6,2,88,2013-11-05
Disney Infinity,3,27,36,76,2013-08-18
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",11,12,41,68,2005-11-14
Napoleon: Total War,13,6,21,85,2010-02-23
Spider-Man 3,10,1,2,66,2007-05-04
Book of Spells,8,1,9,65,2012-11-13
The Sims: Bustin' Out,6,23,4,79,2003-12-15
Final Fantasy Crystal Chronicles: Ring of Fates,5,10,17,77,2008-03-11
Suikoden IV,5,3,27,63,2005-01-11
Darkstone,5,9,26,67,2001-01-28
Legend of Legaia,5,9,9,81,1999-03-17
Command & Conquer: Red Alert 3,13,6,4,82,2008-10-28
WWE SmackDown vs. RAW 2007,9,7,32,78,2006-12-06
London 2012: The Official Video Game of the Olympic Games,4,1,21,62,2012-06-26
Shaun White Snowboarding,4,1,8,60,2008-11-16
Fist of the North Star: Ken's Rage,1,1,106,48,2010-11-02
Castlevania: Lords of Shadow,1,4,27,79,2010-10-05
Ratatouille,10,7,32,66,2007-06-26
Disney's Kim Possible 2: Drakken's Demise,10,12,36,83,2004-09-15
Madagascar,10,23,2,68,2005-05-24
2014 FIFA World Cup Brazil,4,1,3,79,2014-04-15
NHL 13,4,1,4,83,2012-09-11
NHL 10,4,4,3,91,2009-09-15
MX vs. ATV Untamed,7,7,32,56,2007-12-17
F-Zero GX,7,23,57,84,2003-08-26
Wall-E,10,7,32,77,2008-06-24
LEGO City Undercover,10,24,33,80,2017-04-04
Transformers: The Game,1,7,2,43,2007-06-19
Centipede,2,9,29,59,1999-04-30
Scene It? Box Office Smash,8,4,5,76,2008-10-28
Advance Wars 2: Black Hole Rising,13,12,57,88,2003-06-24
007: Quantum of Solace,2,8,2,56,2008-11-04
Far Cry 4,2,6,8,85,2014-11-18
Tiger Woods PGA Tour 09,4,1,3,85,2008-08-26
Disney's Chicken Little,10,3,41,63,2005-10-20
Harry Potter and the Goblet of Fire,11,3,4,67,2005-11-08
Drawn to Life: The Next Chapter,11,10,32,74,2009-10-27
Dead or Alive 5,9,1,106,76,2015-02-17
Champions: Return to Arms,5,3,79,77,2005-02-07
Star Ocean: First Departure,5,7,17,75,2008-10-21
Tiger Woods PGA Tour 10,4,4,3,83,2009-06-08
Sengoku Basara: Samurai Heroes,1,1,22,61,2010-10-12
Real Heroes: Firefighter,1,8,82,74,2009-08-04
Dragon Ball: Raging Blast 2,9,4,54,60,2010-11-02
X2: Wolverine's Revenge,1,3,2,58,2003-04-14
New Play Control! Pikmin,13,8,57,77,2009-03-09
Just Dance 2014,12,27,8,75,2013-10-08
Max Payne 2: The Fall of Max Payne,2,14,1,86,2003-11-25
Lost Planet: Extreme Condition,2,1,22,63,2008-02-26
Rayman 3D,10,25,8,63,2011-03-22
Konami Collector's Series: Arcade Advanced,8,12,27,80,2002-03-21
Castlevania,10,19,27,76,1999-01-26
Crash Bandicoot Purple: Ripto's Rampage,10,12,47,67,2004-06-03
Rayman 2: The Great Escape,10,19,8,90,1999-10-31
Crash of the Titans,1,7,86,63,2007-10-16
Rock Band 3,8,8,42,92,2010-10-26
Dead Island: Riptide,1,1,44,66,2013-04-23
The Lord of the Rings: Conquest,1,4,4,59,2009-01-13
LEGO The Incredibles,1,24,33,65,2018-06-15
Iron Man,1,7,21,50,2008-05-02
Sim Theme Park,13,9,4,85,1999-10-24
Wolfenstein,2,1,2,72,2009-08-18
NieR,5,1,17,66,2010-04-27
Namco Museum,8,23,12,53,2002-10-09
Transformers: Revenge of the Fallen,1,4,2,61,2009-06-23
Shin Megami Tensei: Persona 3 FES,5,3,67,87,2008-04-22
XCOM: Enemy Unknown,4,4,34,88,2012-10-09
Assassin's Creed IV: Black Flag,3,6,8,85,2013-11-19
A Bug's Life,10,19,2,61,1999-04-30
Ape Escape 2,10,3,8,80,2003-06-30
The Sims 3: Generations,6,6,4,65,2011-05-31
Dogz,6,12,8,41,2005-11-17
Test Drive Unlimited 2,7,1,23,69,2011-02-08
LEGO Pirates of the Caribbean: The Video Game,1,25,36,70,2011-05-10
LEGO Star Wars II: The Original Trilogy,1,4,13,82,2006-09-12
Condemned 2: Bloodshot,11,4,21,82,2008-03-11
Tony Hawk's Project 8,4,1,2,79,2006-11-17
X-Men Legends II: Rise of Apocalypse,5,3,2,85,2005-09-20
White Knight Chronicles II,5,1,63,54,2011-09-13
Dragon Age II,5,6,4,79,2011-03-08
Disney Universe,1,1,36,74,2011-10-25
Madden NFL 07,4,23,3,85,2006-08-22
Viewtiful Joe,1,23,22,94,2003-10-07
Wall-E,10,4,32,53,2008-06-24
Tomb Raider III: Adventures of Lara Croft,11,6,18,73,1998-11-30
Phoenix Wright: Ace Attorney - Trials and Tribulations,11,10,22,79,2007-10-23
Donkey Kong Barrel Blast,7,8,57,48,2007-10-08
Beetle Adventure Racing!,7,19,4,92,1999-03-24
F1 2017,7,2,44,80,2017-08-25
Start the Party!,8,1,9,61,2010-09-07
NBA 2K9,4,1,31,83,2008-10-07
Jak and Daxter: The Lost Frontier,10,7,9,75,2009-11-03
Ghostbusters: The Video Game,1,4,23,77,2009-06-16
Wet,2,1,7,69,2009-09-15
DJ Hero 2,8,8,2,87,2010-10-19
Dragon Ball Z: Ultimate Tenkaichi,9,1,54,50,2011-10-25
Wild ARMs 3,5,3,9,76,2002-10-15
World of Final Fantasy,5,2,17,67,2016-10-25
Prince of Persia: The Forgotten Sands,1,4,8,75,2010-05-18
Metal Gear Solid 2: Substance,1,14,27,87,2002-11-04
Samurai Warriors 2,1,3,97,56,2006-09-19
Tony Hawk: RIDE,4,1,2,45,2009-11-17
Advance Wars: Days of Ruin,13,10,57,84,2008-01-21
New Play Control! Pikmin 2,13,8,57,87,2012-06-10
Half-Life 2,2,14,4,89,2005-11-15
Metroid Prime: Trilogy,2,8,57,90,2009-08-24
Vanquish,2,1,21,85,2010-10-19
Game & Watch Gallery 4,8,12,57,64,2002-10-28
Madden NFL 2002,4,23,3,86,2001-11-17
Sacred 2: Fallen Angel,5,1,141,71,2009-05-11
Final Fantasy IV Advance,5,12,17,86,2005-12-12
Harry Potter and the Goblet of Fire,11,12,4,60,2005-11-08
Pro Evolution Soccer 2011,4,4,27,60,2010-10-05
Tony Hawk: RIDE,4,4,2,44,2009-11-17
James Cameron's Avatar: The Game,1,7,8,39,2009-12-01
Dragon Ball Z: Buu's Fury,1,12,23,59,2004-09-14
Backyard Wrestling: Don't Try This at Home,9,3,18,60,2003-10-07
Fighters Uncaged,9,4,8,32,2010-11-04
Rayman Arena,7,3,8,67,2002-09-24
Secret Agent Clank,10,3,9,70,2009-05-26
Split/Second,7,4,36,84,2010-05-18
PGR3 - Project Gotham Racing 3,7,4,5,88,2005-11-16
Suikoden,5,9,27,82,1996-12-01
Transformers: The Game,1,4,2,52,2007-06-26
Wave Race: Blue Storm,7,23,57,84,2001-11-17
NBA 2K7,4,4,31,84,2006-09-25
Ben 10: Alien Force,1,7,63,52,2008-10-28
Call of Juarez: Bound in Blood,2,4,8,76,2009-06-30
Half-Life,2,3,86,84,2001-11-11
Medal of Honor: Frontline,2,23,4,80,2002-11-10
Dead Space,2,6,4,88,2008-10-20
Ready 2 Rumble Boxing,4,19,39,78,1999-10-31
NHL 11,4,1,3,88,2010-09-07
Final Fantasy Explorers,5,25,17,73,2016-01-26
XCOM: Enemy Unknown,13,1,34,91,2012-10-09
Assassin's Creed: Brotherhood,1,6,8,87,2011-03-22
Naruto: The Broken Bond,1,4,8,76,2008-11-18
Asphalt: Urban GT,7,10,8,50,2004-11-17
Blur,7,4,2,83,2010-05-25
Transformers: War for Cybertron,1,4,2,73,2010-06-22
Rock Band 2,8,3,42,79,2008-11-18
Crash Bandicoot: The Wrath of Cortex,10,23,16,60,2002-09-17
Call of Duty: Black Ops,2,10,2,70,2010-11-09
The Fight: Lights Out,9,1,9,47,2010-11-09
WarioWare D.I.Y.,8,10,57,83,2010-03-28
Harvest Moon: Friends of Mineral Town,6,12,83,76,2003-11-17
Alice: Madness Returns,11,1,4,67,2011-06-14
Silent Hill: Shattered Memories,11,3,27,80,2010-01-19
Metal Gear Solid V: Ground Zeroes,3,1,37,85,2014-03-18
Skylanders: SuperChargers,3,27,2,80,2015-09-20
Kane & Lynch 2: Dog Days,2,1,17,63,2010-08-17
MLB 11: The Show,4,1,9,89,2011-03-08
LEGO Indiana Jones 2: The Adventure Continues,11,7,13,52,2009-11-17
Dead or Alive Xtreme Beach Volleyball,4,14,98,66,2003-01-22
Madden NFL 06,4,4,3,77,2005-11-16
2002 FIFA World Cup,4,3,3,79,2002-04-22
NHL 12,4,1,3,86,2011-09-13
Tony Hawk's Pro Skater 4,4,23,2,92,2002-10-23
Disney Magic World 2,6,25,57,75,2016-10-14
Skate it,4,8,4,66,2008-11-19
Call of Duty: Modern Warfare Remastered,2,2,2,79,2017-06-27
Doom 3 BFG Edition,8,1,7,68,2012-10-16
F1 2013,7,1,73,77,2013-10-08
Championship Motocross featuring Ricky Carmichael,7,9,32,75,1999-09-15
NCAA Football 10,4,3,3,80,2009-07-14
Guitar Hero: Smash Hits,8,8,2,75,2009-06-16
Deus Ex: Human Revolution,2,6,17,87,2011-08-23
Contra: Shattered Soldier,2,3,27,73,2002-10-22
LEGO Worlds,8,24,33,50,2017-09-05
Disgaea 4: A Promise Unforgotten,5,1,142,79,2011-09-06
Diablo,5,9,4,83,1998-01-01
Final Fantasy: The 4 Heroes of Light,5,10,17,72,2010-10-05
Kirby and the Rainbow Curse,10,27,57,82,2015-02-20
Tenchu 2: Birth of the Stealth Assassins,1,9,2,85,2000-08-07
Tom Clancy's HAWX,1,4,8,69,2009-03-03
International Superstar Soccer '98,4,19,27,91,1998-09-15
Blacksite: Area 51,2,4,39,63,2007-11-12
Tomb Raider: Anniversary,1,7,18,77,2007-08-09
StarCraft II: Legacy of the Void,13,6,25,88,2015-11-10
Disney Universe,1,4,36,67,2011-10-25
SpongeBob SquarePants: Battle for Bikini Bottom,10,14,32,67,2003-10-31
Spider-Man 3,10,4,2,60,2007-05-04
Beyond The Beyond,5,9,9,48,1996-08-31
Rock Band 3,8,1,42,92,2010-10-26
Trivial Pursuit,8,8,4,73,2009-03-10
Madden NFL 06,4,23,3,87,2005-08-08
London 2012: The Official Video Game of the Olympic Games,4,4,21,55,2012-06-26
NHL 10,4,1,3,91,2009-09-15
ATV Offroad Fury: Blazin' Trails,7,7,9,59,2005-04-19
Resident Evil Outbreak File #2,1,3,22,58,2005-04-26
Starlink: Battle for Atlas,3,24,8,75,2018-10-16
BlazBlue: Calamity Trigger,9,1,144,85,2009-06-30
Ultra Street Fighter II: The Final Challengers,9,24,22,70,2017-05-26
Top Spin 3,4,1,31,78,2008-06-23
Harvest Moon: The Tale of Two Towns,6,10,83,63,2011-09-20
Harvest Moon: Sunshine Islands,6,10,83,90,2009-11-10
The Sims 3: World Adventures,6,6,4,82,2009-11-16
FIFA World Cup Germany 2006,4,3,3,79,2006-04-24
"Warhammer 40,000: Space Marine",2,4,32,73,2011-09-06
Battlefield 2: Modern Combat,2,14,4,75,2005-10-24
The Lord of the Rings: The Return of the King,5,12,4,74,2003-11-05
Xenoblade Chronicles,5,25,57,86,2015-04-10
LEGO Rock Band,8,4,15,73,2009-11-03
NCAA Football 07,4,14,3,88,2006-07-18
Final Fantasy IV: The Complete Collection,5,7,17,80,2011-04-19
Top Spin 3,4,4,31,81,2008-06-23
Everybody's Golf,4,2,50,81,2017-08-29
Tetris Party Deluxe,14,8,14,73,2010-06-01
Wolfenstein,2,4,2,73,2009-08-18
Blinx: The Time Sweeper,10,14,5,68,2002-10-07
True Crime: Streets of LA,1,23,2,81,2003-11-03
Tom Clancy's HAWX,1,1,8,75,2009-03-03
Enslaved: Odyssey to the West,1,1,54,79,2010-10-05
No More Heroes,1,8,8,82,2008-01-22
Tony Hawk's Proving Ground,4,4,2,72,2007-10-15
The Incredible Hulk,10,12,16,60,2003-05-27
Resident Evil 2,1,19,22,90,1999-10-31
Need for Speed: Most Wanted,7,23,4,84,2005-11-15
MX 2002 Featuring Ricky Carmichael,7,3,32,80,2001-07-03
Archer Maclean's Mercury,14,7,146,77,2005-04-06
Barbie Groovy Games,8,12,16,30,2002-09-04
Metroid: Samus Returns,3,25,57,91,2017-09-15
Breath of Fire IV,5,9,22,84,2000-11-28
Odin Sphere,5,3,67,80,2007-05-22
Tony Hawk's Project 8,4,7,2,63,2006-11-21
Viva Pinata: Pocket Paradise,6,10,32,81,2008-09-08
WWF Raw (2002),9,14,32,65,2002-02-11
MX vs. ATV: Alive,7,4,32,69,2011-05-10
Petz Catz Clan,6,10,8,50,2008-11-18
Metal Gear Solid 3: Subsistence,1,3,27,94,2006-03-14
Ratchet & Clank: Quest for Booty,10,1,9,76,2008-09-12
Poochy & Yoshi's Woolly World,10,25,57,75,2017-02-03
Secret Agent Clank(US sales),10,7,9,72,2008-06-17
Shrek 2,10,14,2,67,2004-04-28
Donkey Kong Jungle Climber,10,10,57,78,2007-09-10
Project CARS 2,7,2,76,85,2017-09-22
Batman: Vengeance,11,3,8,71,2001-10-15
Lunar: Silver Star Story Complete,5,9,148,76,1999-05-28
Disgaea 3: Absence of Justice,5,1,142,78,2008-08-26
Tatsunoko vs. Capcom: Ultimate All-Stars,9,8,22,83,2010-01-26
Dragon Ball Z: Ultimate Tenkaichi,9,4,54,60,2011-10-25
Tactics Ogre: Let Us Cling Together,5,7,17,90,2011-02-15
METRO 2033,2,4,32,74,2010-03-16
Time Crisis: Razing Storm,2,1,54,58,2010-10-19
Just Dance 2015,12,5,8,81,2014-10-21
Sacred 2: Fallen Angel,5,4,141,70,2009-05-11
Dragon Ball: Fusions,5,25,76,63,2016-11-22
Mario Tennis Ultra Smash,4,27,57,61,2015-11-20
Tiger Woods PGA Tour 11,4,8,3,83,2010-06-08
NBA Live 10,4,1,3,79,2009-10-06
Gauntlet Legends,1,19,39,60,1999-08-31
Assassin's Creed II,1,6,8,85,2010-03-09
Hotel Dusk: Room 215,11,10,57,80,2007-01-22
Bulletstorm,2,1,4,84,2011-02-22
Manhunt 2,1,8,1,58,2007-10-29
Dynasty Warriors: Gundam 3,1,1,106,65,2011-06-28
Enslaved: Odyssey to the West,1,4,54,80,2010-10-05
ModNation Racers,7,7,9,77,2010-05-25
NBA Street Vol. 2,4,23,38,88,2003-04-28
SSX Tricky,4,23,38,84,2001-12-02
FIFA 07 Soccer,4,14,3,81,2006-10-03
Over the Hedge,10,3,2,65,2006-05-09
The SpongeBob SquarePants Movie,10,14,32,68,2004-10-27
Bust A Groove,8,9,45,77,1998-10-31
The Sims 3: Pets,6,6,4,75,2011-10-18
Valkyria Chronicles II,5,7,21,81,2010-08-31
Two Worlds II,5,4,121,65,2011-01-25
Fire Emblem: Path of Radiance,5,23,57,86,2005-10-17
X-Men Legends,5,23,2,86,2004-09-21
Terminator Salvation,2,1,15,50,2009-05-19
Star Fox Command,2,10,57,72,2006-08-28
Excite Truck,7,8,57,70,2006-11-19
Ty the Tasmanian Tiger 2: Bush Rescue,10,3,4,73,2004-10-12
Sonic & Sega All-Stars Racing Transformed,7,27,21,69,2012-11-18
F1 2018,7,2,73,89,2018-08-24
F1 2009,7,7,73,74,2009-11-17
007 Racing,7,9,4,61,2000-11-20
LEGO The Incredibles,1,2,33,65,2018-06-15
Clock Tower,11,9,91,61,1997-09-30
Phoenix Wright: Ace Attorney - Justice for All,11,10,22,76,2007-01-16
G-Force,1,10,36,70,2009-07-21
Madden NFL 07,4,1,3,80,2006-11-14
Wayne Gretzky's 3D Hockey,4,19,39,81,1996-11-11
Rune Factory: A Fantasy Harvest Moon,5,10,83,81,2007-08-14
Blitz: The League,4,14,39,79,2005-10-17
Tom Clancy's Ghost Recon Advanced Warfighter 2,2,7,8,65,2007-08-23
Inazuma Eleven,5,10,57,68,2011-08-26
F.E.A.R. 2: Project Origin,2,4,15,79,2009-02-10
Harry Potter and the Prisoner of Azkaban,11,12,4,70,2004-05-25
Final Fantasy Chronicles,5,9,92,92,2001-06-29
The 3rd Birthday,5,7,17,70,2011-03-29
Metal Gear Solid 2: Substance,1,3,27,85,2003-03-03
Fight Night Round 3,9,7,3,72,2006-02-20
Ready 2 Rumble Boxing: Round 2,9,9,39,65,2000-11-09
Metal Gear Solid HD Collection,1,1,27,91,2011-11-08
Sesame Street: Once Upon A Monster,17,4,15,80,2011-10-11
Seaman,6,18,21,81,2000-08-09
Tiger Woods PGA Tour 11,4,4,3,81,2010-06-08
We Love Katamari,14,3,12,82,2005-09-20
Silent Hill: Origins,1,7,27,78,2007-11-06
GT Pro Series,7,8,8,37,2006-11-14
Cars 2,7,1,36,75,2011-06-21
Way of the Samurai 3,1,1,95,65,2009-10-13
Mystery Dungeon: Shiren the Wanderer,5,10,21,71,2008-03-04
Rune Factory 2: A Fantasy Harvest Moon,5,10,83,79,2008-11-18
Spectrobes: Beyond the Portals,5,10,36,73,2008-10-07
Alice in Wonderland,11,8,36,63,2010-03-02
DiRT Rally,7,2,73,83,2016-04-05
Lair,1,1,9,55,2007-08-30
Dynasty Warriors,1,7,106,66,2005-03-17
Disney's Kim Possible: Revenge of Monkey Fist,10,12,36,50,2002-11-13
Test Drive Unlimited,7,7,23,77,2007-03-21
Prince of Persia Trilogy,1,1,8,83,2011-04-19
Ratatouille,10,1,32,52,2007-10-23
Major League Baseball 2K10,4,4,31,74,2010-03-02
Pro Evolution Soccer 2010,4,8,27,81,2009-11-10
The Saboteur,1,4,4,72,2009-12-08
Fire Emblem Warriors,1,24,57,73,2017-10-20
NBA Live 07,4,7,3,70,2006-09-25
Madden NFL 2004,4,23,3,92,2003-08-12
Dragon Ball: Raging Blast,9,4,54,58,2009-11-10
Dragon Ball Z: Supersonic Warriors,9,12,23,71,2004-06-22
SoulCalibur: Broken Destiny,9,7,54,80,2009-09-01
Bleach: Soul Resurreccion,9,1,142,67,2011-08-03
Halo Wars 2,13,5,6,70,2017-02-21
DC Universe Online,18,1,79,65,2011-01-11
NHL 07,4,3,3,72,2006-09-12
Goldeneye 007: Reloaded,2,4,2,74,2011-11-01
Wet,2,4,7,69,2009-09-15
Steel Diver,1,25,57,56,2011-03-27
Rock Band Unplugged,8,7,42,80,2009-06-09
Madden NFL 07,4,8,3,82,2006-11-14
NHL 09,4,4,4,90,2008-09-09
Pokémon Art Academy,8,25,57,78,2014-10-24
Tactics Ogre: The Knight of Lodis,5,12,67,85,2002-05-11
Tiger Woods PGA Tour 07,4,1,3,81,2006-11-14
Dragon Age: Origins,5,6,4,91,2009-11-03
Burnout Revenge,7,4,4,88,2006-03-07
Picross DS,14,10,57,84,2007-07-30
Picross 3D,14,10,57,87,2010-05-03
Bully: Scholarship Edition,1,8,1,84,2008-03-04
Tony Hawk's Underground 2,4,23,2,86,2004-10-04
Avatar: The Last Airbender,11,23,32,55,2006-10-10
Alice: Madness Returns,11,4,4,69,2011-06-14
Ratatouille,10,8,32,65,2007-06-26
Epic Mickey: Power of Illusion,10,25,36,66,2012-11-18
Pro Evolution Soccer 2012,4,4,27,77,2011-09-27
Hometown Story,6,25,83,55,2013-10-22
Dead or Alive Ultimate,9,14,98,81,2004-10-26
Transformers: War for Cybertron,1,1,2,78,2010-06-22
Hitman: Blood Money,1,3,18,82,2006-05-30
WWE SmackDown vs. RAW 2007,9,4,32,80,2006-11-14
R.U.S.E.,13,1,8,80,2010-09-07
Super Monkey Ball 3D,1,25,21,57,2011-03-27
Spider-Man 2,1,10,2,61,2004-11-16
Fire Emblem: Radiant Dawn,13,8,57,77,2007-11-05
Kane & Lynch 2: Dog Days,2,4,17,64,2010-08-17
Ace Combat: Assault Horizon,1,4,54,70,2011-10-11
The Matrix: Path of Neo,1,3,23,68,2005-11-07
Dynasty Warriors: Gundam 2,1,1,54,59,2009-04-21
Dragon Ball Z: Burst Limit,9,4,23,73,2008-06-10
Animal Crossing: Amiibo Festival,16,27,57,48,2015-11-13
MotorStorm: Apocalypse,7,1,9,76,2011-05-03
Asphalt 3D,7,25,8,40,2011-03-22
F1 2012,7,4,73,85,2012-09-18
Crazy Taxi,7,23,35,72,2001-11-17
DiRT 4,7,2,44,86,2017-06-06
Babysitting Mama,6,8,14,38,2010-11-16
Alone in the Dark,11,4,23,63,2008-06-23
Story of Seasons: Trio of Towns,6,25,159,79,2017-02-28
FIFA 13,4,27,3,70,2012-11-18
Mario Golf: World Tour,4,25,57,81,2014-05-02
Tony Hawk's Project 8,4,4,2,84,2006-11-07
