title,genre_id,platform_id,publisher_id,metacritic_score,release_date
Crash Bandicoot: The Huge Adventure,10,12,47,83,2002-02-25
Twisted Metal III,1,9,45,44,1998-10-31
SSX Tricky,4,3,38,92,2001-11-05
Call of Duty: World at War Final Fronts,2,3,2,68,2008-11-10
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,1,3,1,97,2003-10-21
Titanfall 2,2,2,4,89,2016-10-28
The Beatles: Rock Band,8,8,42,90,2009-09-09
Portal 2,2,1,52,96,2011-04-19
Call of Duty: Modern Warfare 3,2,6,2,80,2011-11-08
Call of Duty Black Ops: Declassified,2,17,2,32,2012-11-13
Cabela's Big Game Hunter 2010,4,8,2,55,2009-09-29
NCAA Football 07,4,3,4,89,2006-07-18
The Sims 3: Late Night Expansion Pack,6,6,4,75,2010-10-26
Harry Potter and the Sorcerer's Stone,1,12,4,66,2001-11-15
Dragon Ball Z: The Legacy of Goku,5,12,64,65,2002-05-14
Need for Speed: Undercover,7,4,4,63,2008-11-17
Star Wars Battlefront: Renegade Squadron,2,7,13,75,2007-10-09
Time Crisis,2,9,12,85,1997-10-31
Far Cry 4,2,5,8,85,2014-11-18
Saints Row 2,1,1,32,79,2008-10-14
Dragon Age: Origins,5,1,4,87,2009-11-03
SpongeBob SquarePants: Battle for Bikini Bottom,10,3,32,58,2003-10-31
NCAA Football 2004,4,3,4,81,2003-07-16
PGR: Project Gotham Racing 2,7,14,5,89,2003-11-17
Shaun White Snowboarding: Road Trip,4,8,8,78,2008-11-16
Need for Speed Carbon,7,4,4,79,2006-10-31
MySims,6,8,4,71,2007-09-18
Army of Two,2,4,4,67,2008-03-07
Ape Escape,10,9,9,93,1999-05-31
Uncharted: Golden Abyss,1,17,9,79,2012-02-15
The Order: 1886,2,2,9,62,2015-02-20
Call of Duty: Black Ops,2,6,2,85,2010-11-09
Rock Band,8,1,42,91,2007-11-20
Kinectimals,6,4,5,75,2010-11-04
Tom Clancy's Ghost Recon Wildlands,2,5,8,77,2017-03-07
Rage,2,4,7,79,2011-10-04
Just Cause 2,1,4,17,80,2010-03-23
Pro Evolution Soccer 2008,4,1,27,71,2008-03-12
