title,platform,total_sales,na_sales,jp_sales,pal_sales,other_sales
Sonic Boom: Rise of Lyric,WiiU,0.31,0.19,,0.09,0.03
Bust-A-Move Universe,3DS,0.31,0.08,0.06,0.15,0.02
Shaun White Snowboarding,PS2,0.31,0.15,,0.12,0.04
South Park: Chef's Luv Shack,PS,0.31,0.17,,0.12,0.02
A Collection of Intellivision Classic Games,PS,0.31,0.17,,0.12,0.02
Star Wars Racer Revenge,PS2,0.31,0.15,,0.12,0.04
NASCAR 2011: The Game,X360,0.31,0.29,,,0.02
Cart World Series,PS,0.3,0.17,,0.11,0.02
Monster Truck Madness 64,N64,0.3,0.24,,0.06,0.0
The King of Fighters XIII,PS3,0.3,0.17,0.04,0.07,0.03
Ehrgeiz,PS,0.3,0.17,,0.12,0.02
PowerUp Heroes,X360,0.3,0.18,,0.09,0.03
Radiant Historia,DS,0.3,0.19,0.09,,0.02
Capcom Classics Collection Remixed,PSP,0.3,0.27,,0.0,0.02
Guitar Hero: Van Halen,X360,0.3,0.16,,0.1,0.03
Def Jam Rapstar,X360,0.3,0.26,,0.03,0.02
FIFA 15,PC,0.3,,,0.28,0.02
Madagascar,DS,0.3,0.25,,0.03,0.02
Dynasty Warriors 6,X360,0.3,0.15,0.06,0.06,0.02
Looney Tunes: Duck Amuck,DS,0.3,0.28,,0.0,0.02
Fist of the North Star: Ken's Rage 2,PS3,0.3,,0.3,,
Tom Clancy's Splinter Cell 3D,3DS,0.3,0.14,0.07,0.07,0.02
Chaos Legion,PS2,0.3,0.15,,0.12,0.04
Resident Evil Archives: Resident Evil,Wii,0.3,0.16,0.08,0.04,0.02
NBA Live 2003,GC,0.3,0.23,,0.06,0.01
Finding Nemo: The Continuing Adventures,GBA,0.3,0.21,,0.08,0.01
Batman: The Brave and the Bold the Videogame,DS,0.3,0.23,,0.04,0.02
Contra 4,DS,0.3,0.28,0.01,,0.02
Rayman 2: Revolution,PS2,0.3,0.15,,0.11,0.04
Dragon Force,SAT,0.3,,0.3,,0.0
Full Spectrum Warrior,PS2,0.3,0.15,,0.11,0.04
Sing Party,WiiU,0.3,0.15,,0.13,0.03
N3: Ninety-Nine Nights,X360,0.3,0.2,0.05,0.03,0.02
MySims SkyHeroes,Wii,0.3,0.16,,0.1,0.03
Monopoly for Nintendo Switch,NS,0.3,0.06,0.01,0.22,0.02
F1 2013,X360,0.3,0.01,0.0,0.28,0.02
Syphon Filter: Dark Mirror,PSP,0.3,0.26,,0.01,0.03
Shaun White Snowboarding: World Stage,Wii,0.3,0.24,,0.03,0.02
Lumines ll,PSP,0.3,0.12,,0.12,0.07
Magna Carta 2,X360,0.3,0.13,0.07,0.07,0.02
Crazy Taxi: Catch a Ride,GBA,0.3,0.21,,0.08,0.01
Burnout,GC,0.3,0.23,,0.06,0.01
Sonic Boom: Shattered Crystal,3DS,0.29,0.17,,0.09,0.03
Rock Revolution,X360,0.29,0.26,,0.0,0.02
Assassin's Creed IV: Black Flag,WiiU,0.29,0.17,,0.1,0.03
NBA Live 06,X360,0.29,0.27,,0.0,0.02
Ever Oasis,3DS,0.29,0.13,0.05,0.08,0.02
Grandia II,PS2,0.29,0.14,,0.11,0.04
NieR,X360,0.29,0.13,0.04,0.1,0.02
Atelier Iris 3: Grand Phantasm (US Sales),PS2,0.29,0.14,,0.11,0.04
The Lord of the Rings: The Third Age,GC,0.29,0.22,,0.06,0.01
"Sakura Wars: So Long, My Love",PS2,0.29,0.07,0.15,0.05,0.02
Overcooked! 2,NS,0.29,0.17,0.01,0.09,0.03
The Sims 2,PC,0.29,0.02,,0.24,0.03
Glory of Heracles,DS,0.29,0.19,0.08,,0.02
X-Men Legends II: Rise of Apocalypse,PSP,0.29,0.25,,0.01,0.02
Harvest Moon: Magical Melody,Wii,0.29,0.23,,0.04,0.02
Ace Combat: Joint Assault,PSP,0.29,0.06,0.15,0.05,0.03
Trauma Center: New Blood,Wii,0.29,0.22,0.01,0.04,0.02
Duel Masters: Sempai Legends,GBA,0.29,0.21,,0.08,0.01
The Golden Compass,PS3,0.29,0.14,,0.1,0.05
The Legend of Legacy,3DS,0.29,0.14,0.11,0.02,0.02
Zoo Tycoon 2 DS,DS,0.29,0.24,,0.03,0.02
Phoenix Wright: Ace Attorney: Spirit of Justice,3DS,0.29,,0.29,,
Up,X360,0.29,0.2,,0.07,0.03
Majin and the Forsaken Kingdom,PS3,0.29,0.09,0.01,0.14,0.05
The BIGS 2,Wii,0.29,0.26,,0.01,0.02
Feel the Magic XY/XX,DS,0.29,0.17,0.1,0.0,0.02
Dead Rising: Chop Till You Drop,Wii,0.29,0.15,0.05,0.07,0.02
Prince of Persia: Rival Swords,Wii,0.29,0.24,,0.03,0.02
Sengoku Basara: Samurai Heroes,Wii,0.29,0.06,0.2,0.02,0.01
Warriors Orochi 2,PSP,0.29,0.06,0.22,0.0,0.01
Spider-Man: Friend or Foe,X360,0.29,0.26,,0.01,0.02
Dynasty Warriors: Strikeforce,PS3,0.29,0.11,0.07,0.08,0.03
Kenka Bancho: Badass Rumble,PSP,0.29,0.07,0.2,,0.01
Trace Memory,DS,0.29,0.15,0.12,0.01,0.01
Just Dance 2017,NS,0.29,0.07,,0.2,0.02
Rayman 3: Hoodlum Havoc,PS2,0.29,0.14,,0.11,0.04
Spyro: A Hero's Tail,GC,0.29,0.22,,0.06,0.01
Earthworm Jim,GBA,0.29,0.2,,0.08,0.01
Turning Point: Fall of Liberty,X360,0.29,0.23,,0.04,0.02
FlatOut: Head On,PSP,0.29,0.13,,0.11,0.06
Call of Juarez: The Cartel,PS3,0.29,0.12,,0.12,0.05
Wanted: Weapons of Fate,PS3,0.29,0.14,0.01,0.1,0.04
MLB Power Pros,Wii,0.29,0.23,0.04,,0.02
The Chronicles of Riddick: Assault on Dark Athena,X360,0.29,0.16,,0.1,0.03
Forsaken 64,N64,0.29,0.23,,0.06,0.0
Siren: Blood Curse,PS3,0.28,,0.09,0.17,0.01
Patapon 3,PSP,0.28,0.05,0.17,0.04,0.02
Rhythm Thief & the Emperor's Treasure,3DS,0.28,0.07,0.12,0.07,0.01
ExciteBots: Trick Racing,Wii,0.28,0.26,,,0.02
Disney's Extreme Skate Adventure,GBA,0.28,0.2,,0.08,0.01
Rugby World Cup 2011,X360,0.28,0.03,,0.21,0.04
FIFA 07 Soccer,X360,0.28,0.24,,0.01,0.02
WarioWare Gold,3DS,0.28,0.11,0.13,0.03,0.01
Guitar Hero: Van Halen,Wii,0.28,0.13,,0.12,0.03
Guitar Hero: Van Halen,PS3,0.28,0.14,,0.09,0.04
Darksiders,PS3,0.28,0.02,0.02,0.14,0.1
Medieval Moves: Deadmund's Quest,PS3,0.28,0.13,,0.11,0.05
SAW,X360,0.28,0.13,,0.12,0.03
Assassin's Creed II: Discovery,DS,0.28,0.15,,0.11,0.03
Transformers: Dark of the Moon,X360,0.28,0.13,,0.12,0.03
Civilization II,PS,0.28,0.15,,0.11,0.02
Batman: The Brave and the Bold the Videogame,Wii,0.28,0.2,,0.05,0.02
Disney's Treasure Planet,GBA,0.28,0.2,,0.07,0.01
El Shaddai: Ascension of the Metatron,PS3,0.28,0.11,0.08,0.07,0.03
Bladestorm: The Hundred Years' War,PS3,0.28,0.1,0.14,0.03,0.02
Star Trek Bridge Crew,PS4,0.28,0.11,,0.12,0.05
Pac-Man Fever,GC,0.28,0.21,,0.06,0.01
Operation Flashpoint: Red River,X360,0.28,0.1,0.01,0.14,0.03
Dead to Rights: Retribution,PS3,0.28,0.1,0.02,0.12,0.05
MLB 07: The Show,PSP,0.28,0.26,,,0.02
Carol Vorderman's Sudoku,PS2,0.28,,,0.23,0.05
The Warriors,PSP,0.28,0.23,,0.02,0.03
The Binding of Isaac: Afterbirth+,NS,0.28,0.17,,0.08,0.03
Gundam Versus,PS4,0.28,0.08,0.18,,0.02
Over the Hedge,DS,0.28,0.24,,0.01,0.02
Pirates of the Caribbean: Dead Man's Chest,PSP,0.28,0.25,,0.01,0.02
Dragon Ball GT: Transformation,GBA,0.28,0.2,,0.08,0.01
SimCity 4,PC,0.28,0.01,,0.24,0.02
EyePet,PSP,0.28,0.02,,0.17,0.09
Armored Core: Project Phantasma,PS,0.28,0.06,0.15,0.04,0.02
Final Fantasy VI Advance,GBA,0.28,,0.28,,0.01
Wild ARMs 5,PS2,0.28,0.14,,0.11,0.04
Etrian Mystery Dungeon,3DS,0.28,0.11,0.14,0.01,0.01
Mass Effect 3,WiiU,0.28,0.14,,0.12,0.02
Shadow Hearts,PS2,0.28,0.09,0.1,0.07,0.02
Dead or Alive,PS,0.28,0.09,0.1,0.06,0.02
Kung Fu Chaos,XB,0.28,0.21,,0.06,0.01
Godzilla: Domination!,GBA,0.28,0.2,,0.07,0.01
Virtua Fighter 5 Online,X360,0.28,0.2,0.03,0.02,0.02
Madagascar,XB,0.28,0.21,,0.06,0.01
Mega Man ZX,DS,0.28,0.16,0.1,0.0,0.02
Ice Age: Dawn of the Dinosaurs,Wii,0.28,0.11,,0.14,0.03
Castlevania: Aria of Sorrow,GBA,0.28,0.2,,0.07,0.0
DeathSmiles,X360,0.28,0.15,0.05,0.06,0.02
Mister Mosquito,PS2,0.28,0.05,0.17,0.04,0.01
World of Tanks,PC,0.28,,,0.23,0.05
Need for Speed: Most Wanted (2012),WiiU,0.28,0.13,,0.13,0.02
Corvette,GBA,0.28,0.2,,0.07,0.01
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,0.27,0.21,,0.05,0.01
NHL 07,X360,0.27,0.25,,0.0,0.02
NHL 2K11,Wii,0.27,0.23,,0.02,0.02
NFL Street 3,PSP,0.27,0.24,,0.0,0.02
Dragon Ball Z: Tenkaichi Tag Team,PSP,0.27,0.11,0.09,0.04,0.03
Lightning Returns: Final Fantasy XIII,X360,0.27,0.15,0.01,0.08,0.02
Metal Gear Solid V: Ground Zeroes,XOne,0.27,0.13,,0.13,0.02
Batman: Arkham Origins Blackgate,3DS,0.27,0.16,,0.09,0.02
Ty the Tasmanian Tiger,GC,0.27,0.21,,0.05,0.01
Brain Age: Concentration Training,3DS,0.27,,0.27,,
Pac-Pix,DS,0.27,0.16,0.1,0.0,0.01
Disney's Chicken Little,GC,0.27,0.21,,0.05,0.01
Skylanders SWAP Force,3DS,0.27,0.12,,0.13,0.02
Ratatouille,X360,0.27,0.23,,0.02,0.02
Transformers: Cybertron Adventures,Wii,0.27,0.14,,0.1,0.02
Dead Rising 2: Off the Record,X360,0.27,0.17,,0.08,0.02
Iron Man 2,X360,0.27,0.15,,0.1,0.03
Shadows of the Damned,PS3,0.27,0.11,0.04,0.09,0.03
Call of Juarez: The Cartel,X360,0.27,0.14,,0.1,0.03
Plants vs. Zombies,X360,0.27,0.24,,,0.02
R.U.S.E.,X360,0.27,0.12,0.0,0.11,0.02
The Club,X360,0.27,0.15,,0.1,0.02
Gun,X360,0.27,0.24,,0.01,0.02
Section 8,X360,0.27,0.15,,0.09,0.02
NBA Live 2004,GC,0.27,0.21,,0.05,0.01
The Sims 2: Pets,GC,0.27,0.21,,0.05,0.01
America's Test Kitchen: Let's Get Cooking,DS,0.27,0.25,,,0.02
The World Ends with You: Final Remix,NS,0.27,0.14,0.03,0.08,0.02
Suikoden Tierkreis,DS,0.27,0.09,0.15,0.02,0.01
Etrian Odyssey V: Beyond the Myth,3DS,0.27,0.11,0.14,0.01,0.01
Dragon Age Origins: Awakening,PS3,0.27,0.24,,,0.02
Alundra 2: A New Legend Begins,PS,0.27,0.15,,0.1,0.02
Tiger Woods PGA Tour 07,PSP,0.27,0.2,,0.04,0.03
NASCAR 2011: The Game,PS3,0.27,0.25,,,0.02
MLB 09: The Show,PSP,0.27,0.24,,,0.02
Peter Jackson's King Kong: The Official Game of the Movie,X360,0.26,0.2,,0.03,0.02
Indiana Jones and the Staff of Kings,PSP,0.26,0.11,,0.1,0.05
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,0.26,0.19,,0.07,0.0
Spider-Man: Web of Shadows,PS3,0.26,0.2,,0.04,0.02
Nightmare Creatures,N64,0.26,0.21,,0.05,0.0
The Incredible Hulk,PS3,0.26,0.22,,0.02,0.02
ATV: Quad Power Racing,GBA,0.26,0.18,,0.07,0.0
Formula One 2001,PS2,0.26,0.13,,0.1,0.03
MVP Baseball 2004,GC,0.26,0.2,,0.05,0.01
Major League Baseball 2K10,Wii,0.26,0.24,,,0.02
All-Pro Football 2K8,X360,0.26,0.24,,,0.02
NCAA Gamebreaker,PS,0.26,0.15,,0.1,0.02
Batman: Vengeance,GC,0.26,0.2,,0.05,0.01
Petz: Crazy Monkeyz,Wii,0.26,0.24,,0.0,0.02
Star Wars Episode I: Battle for Naboo,N64,0.26,0.21,,0.05,0.0
Dungeons & Dragons: Eye of the Beholder,GBA,0.26,0.19,,0.07,0.0
Etrian Odyssey: Millennium Girl,3DS,0.26,0.1,0.14,0.01,0.01
Etrian Odyssey II: Heroes of Lagaard,DS,0.26,0.09,0.16,,0.01
King's Field II,PS,0.26,0.08,0.11,0.06,0.02
Stella Glow,3DS,0.26,0.17,0.06,0.01,0.02
Armored Core: Master of Arena,PS,0.26,0.07,0.13,0.05,0.02
Final Fantasy V Advance,GBA,0.26,,0.26,,0.01
Tropico 4,PC,0.26,0.1,,0.13,0.03
R.U.S.E.,PC,0.26,0.04,,0.19,0.03
Bust A Groove 2,PS,0.26,0.04,0.18,0.03,0.02
Metroid Prime Pinball,DS,0.26,0.22,0.02,0.0,0.02
TV Superstars,PS3,0.26,0.08,,0.12,0.05
Castlevania: Harmony of Dissonance,GBA,0.26,0.16,0.04,0.06,0.0
Rayman DS,DS,0.26,0.21,,0.03,0.02
Tomba!,PS,0.26,0.15,,0.1,0.02
Hey Arnold! The Movie,GBA,0.26,0.19,,0.07,0.0
Polarium,DS,0.26,0.13,0.11,0.01,0.01
Armorines: Project S.W.A.R.M.,N64,0.26,0.21,,0.05,0.0
Resident Evil: Revelations,X360,0.26,0.12,0.02,0.1,0.02
Legendary,X360,0.26,0.08,,0.15,0.03
The House of the Dead 2,DC,0.26,,0.26,,
Panzer Dragoon Orta,XB,0.26,0.16,0.04,0.05,0.01
Tom Clancy's Splinter Cell: Double Agent,PS3,0.26,0.2,,0.03,0.03
Resident Evil: Deadly Silence,DS,0.26,0.11,0.11,0.02,0.01
Frogger's Journey: The Forgotten Relic,GBA,0.26,0.18,,0.07,0.0
Deadly Premonition,X360,0.26,0.18,0.0,0.06,0.02
Superman Returns,X360,0.26,0.23,,0.01,0.02
LEGO Star Wars III: The Clone Wars,PC,0.25,0.1,,0.13,0.02
Teen Titans,PS2,0.25,0.12,,0.1,0.03
Ice Age 2: The Meltdown,GBA,0.25,0.18,,0.07,0.0
Sonic Boom: Fire & Ice,3DS,0.25,0.14,0.02,0.08,0.02
Ace Combat: Assault Horizon Legacy,3DS,0.25,0.1,0.08,0.06,0.01
Spelling Challenges and more!,PSP,0.25,0.24,,,0.02
Armored Core 4,X360,0.25,0.19,0.03,0.01,0.02
WipEout XL,PS,0.25,0.14,,0.1,0.02
NASCAR 09,X360,0.25,0.23,,0.0,0.02
Pro Evolution Soccer 2014,X360,0.25,0.08,,0.16,0.02
Crash Tag Team Racing,PSP,0.25,0.16,,0.06,0.03
MotoGP '07,X360,0.25,0.23,,0.0,0.02
Bomberman Tournament,GBA,0.25,0.1,0.1,0.04,0.01
Don King Presents: Prizefighter,X360,0.25,0.14,,0.08,0.02
F1 2015,XOne,0.25,0.09,,0.15,0.02
Def Jam Vendetta,GC,0.25,0.19,,0.05,0.01
UEFA Euro 2008 Austria-Switzerland,PSP,0.25,0.06,,0.13,0.06
Dead or Alive Xtreme 2,X360,0.25,0.15,0.06,0.02,0.02
Cars,X360,0.25,0.22,,0.01,0.02
College Hoops 2K6,PS2,0.25,0.12,,0.1,0.03
Prison Break: The Conspiracy,PS3,0.25,0.05,,0.16,0.05
LEGO The Hobbit,3DS,0.25,0.1,,0.13,0.02
Spirit Camera: The Cursed Memoir,3DS,0.25,0.15,0.06,0.02,0.02
Hunted: The Demon's Forge,PS3,0.25,0.12,0.02,0.09,0.03
Disgaea 2: Dark Hero Days,PSP,0.25,0.1,0.12,0.01,0.02
Hybrid Heaven,N64,0.25,0.16,0.05,0.04,0.0
The Elder Scrolls IV: Oblivion,PC,0.25,0.01,,0.21,0.04
NBA Courtside 2002,GC,0.25,0.19,,0.05,0.01
Mega Man Legacy Collection 1+2,NS,0.25,0.2,0.03,,0.02
Billy Hatcher and the Giant Egg,GC,0.25,0.19,,0.05,0.01
Far Cry: Primal,PC,0.25,0.07,,0.16,0.02
Bomberman Generation,GC,0.25,0.15,0.06,0.04,0.01
Crusaders of Might and Magic,PS,0.25,0.14,,0.1,0.02
Final Fantasy Crystal Chronicles: Echoes of Time,Wii,0.25,0.13,0.05,0.06,0.02
Blaster Master: Blasting Again,PS,0.25,0.14,,0.1,0.02
Medal of Honor European Assault,GC,0.25,0.19,,0.05,0.01
The Outfit,X360,0.25,0.21,,0.02,0.02
"Ed, Edd n Eddy: The Mis-Edventures",GC,0.25,0.19,,0.05,0.01
The Chronicles of Riddick: Assault on Dark Athena,PS3,0.25,0.12,,0.09,0.04
Game & Wario,WiiU,0.25,0.06,0.12,0.06,0.01
Spider-Man: Edge of Time,X360,0.25,0.18,,0.05,0.02
Final Fantasy XI: Chains of Promathia,PS2,0.25,0.12,,0.09,0.03
Butt Ugly Martians: B.K.M. Battles,GBA,0.25,0.18,,0.07,0.0
Sid Meier's Civilization VI,NS,0.25,0.12,0.01,0.11,0.02
Spider-Man: Web of Shadows,Wii,0.25,0.22,,0.01,0.02
Grandia,PS,0.25,0.14,,0.09,0.02
X-Men Legends II: Rise of Apocalypse,GC,0.25,0.19,,0.05,0.01
Driver '76,PSP,0.24,0.03,,0.14,0.07
MX vs. ATV Reflex,PSP,0.24,0.18,,0.03,0.03
Spawn the Eternal,PS,0.24,0.14,,0.09,0.02
Peter Jackson's King Kong: The Official Game of the Movie,GC,0.24,0.19,,0.05,0.01
X-Men: Destiny,PS3,0.24,0.14,,0.07,0.03
Ar tonelico Qoga: Knell of Ar Ciel,PS3,0.24,0.08,0.13,0.01,0.01
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,0.24,0.11,,0.1,0.02
A Way Out,XOne,0.24,0.17,,0.05,0.02
Ghost Rider,PSP,0.24,0.22,,0.0,0.02
X-Men: Destiny,X360,0.24,0.18,,0.04,0.02
G.I. Joe: The Rise of Cobra,X360,0.24,0.17,,0.05,0.02
Spider-Man: Shattered Dimensions,Wii,0.24,0.12,,0.09,0.02
Afro Samurai,X360,0.24,0.16,,0.05,0.02
Grand Theft Auto,GBA,0.24,0.17,,0.06,0.0
South Park: Chef's Luv Shack,N64,0.24,0.19,,0.05,0.0
Midway Arcade Treasures: Extended Play,PSP,0.24,0.21,,0.0,0.02
Vexx,PS2,0.24,0.12,,0.09,0.03
DK: King of Swing,GBA,0.24,0.17,,0.06,0.0
Disney Epic Mickey 2: The Power of Two,WiiU,0.24,0.13,0.01,0.08,0.02
Dynasty Warriors 6 Empires,X360,0.24,0.16,0.04,0.02,0.02
Prince of Persia: The Forgotten Sands,Wii,0.24,0.1,,0.11,0.02
Homefront,PC,0.24,0.11,,0.1,0.03
METRO 2033,PC,0.24,,,0.19,0.04
Far Cry Instincts Predator,X360,0.24,0.2,,0.03,0.02
Call of Duty: Modern Warfare Remastered,XOne,0.24,0.16,,0.06,0.02
Singularity,PS3,0.24,0.17,0.01,0.03,0.03
Resident Evil Archives: Resident Evil Zero,Wii,0.24,0.13,0.06,0.04,0.01
7th Dragon III Code: VFD,3DS,0.24,0.06,0.13,0.04,0.01
Disgaea: Afternoon of Darkness,PSP,0.24,0.15,0.04,0.02,0.02
Divinity II: Ego Draconis,X360,0.24,0.18,,0.04,0.02
Harvest Moon: Another Wonderful Life,GC,0.24,0.19,,0.05,0.01
Tony Hawk's American Sk8land,GBA,0.24,0.17,,0.06,0.0
Virtua Tennis 4,X360,0.24,0.12,0.01,0.09,0.02
Tiger Woods PGA Tour 10,PSP,0.24,0.12,,0.07,0.05
FIFA World Cup Germany 2006,XB,0.24,0.18,,0.05,0.01
Mega Man X Collection,PS2,0.24,0.12,,0.09,0.03
Dreamcast Collection,X360,0.24,0.16,,0.06,0.02
Darksiders II: Deathinitive Edition,PS4,0.24,0.1,,0.1,0.04
MLB,PSP,0.24,0.23,,,0.02
Pure Futbol,PS3,0.24,0.06,,0.13,0.04
NBA Live 10,PSP,0.24,0.21,0.01,0.0,0.02
Ready 2 Rumble Boxing: Round 2,N64,0.24,0.19,,0.05,0.0
The Adventures of Tintin: The Game,X360,0.24,0.07,,0.14,0.03
The Simpsons: Road Rage,GC,0.24,0.19,,0.05,0.01
Classic NES Series: The Legend of Zelda,GBA,0.24,,0.24,,
Luminous Arc,DS,0.24,0.16,0.06,0.0,0.01
Avalon Code,DS,0.24,0.11,0.12,0.0,0.01
Shadow Hearts: Covenant,PS2,0.24,0.12,,0.09,0.03
Fuel,PS3,0.24,0.08,0.0,0.11,0.04
Harvest Moon: Magical Melody,GC,0.24,0.19,,0.05,0.01
Army Men: Air Combat,N64,0.24,0.19,,0.05,0.0
Paperboy,N64,0.24,0.19,,0.05,0.0
Dynasty Warriors 7,X360,0.24,0.16,,0.06,0.02
Command & Conquer 3: Kane's Wrath,X360,0.24,0.16,,0.06,0.02
Lunar: Silver Star Harmony,PSP,0.24,0.19,0.03,,0.02
Valhalla Knights,PSP,0.24,0.15,0.07,0.0,0.01
Risen 2: Dark Waters,PS3,0.23,0.04,0.01,0.14,0.03
Attack on Titan 2,NS,0.23,0.12,0.08,0.02,0.02
DC Universe Online,PC,0.23,0.16,,0.06,0.02
.hack//G.U. Vol.2//Reminisce,PS2,0.23,0.11,,0.09,0.03
DiRT 4,XOne,0.23,0.11,,0.1,0.02
Shaun White Snowboarding,DS,0.23,0.21,,0.0,0.02
NHL FaceOff 2001,PS,0.23,0.13,,0.09,0.02
Shinobi,3DS,0.23,0.14,,0.07,0.02
Skylanders Imaginators,NS,0.23,0.1,,0.1,0.02
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,0.23,0.08,,0.13,0.02
Rune Factory: Tides of Destiny,PS3,0.23,0.14,0.07,,0.02
Colony Wars: Vengeance,PS,0.23,0.13,,0.09,0.02
SSX on Tour,PSP,0.23,0.19,,0.02,0.02
Madden NFL 13,WiiU,0.23,0.21,,,0.02
All-Star Baseball 2001,N64,0.23,0.22,,0.01,0.0
NCAA Football 09,PSP,0.23,0.21,,,0.02
Hot Shots Tennis: Get a Grip,PSP,0.23,0.08,0.13,0.0,0.02
Harry Potter and the Goblet of Fire,XB,0.23,0.18,,0.05,0.01
Sands of Destruction,DS,0.23,0.09,0.13,,0.01
Cross Edge,PS3,0.23,0.14,0.05,0.02,0.02
The Lord of the Rings: Aragorn's Quest,Wii,0.23,0.17,,0.05,0.02
Star Wars Jedi Knight II: Jedi Outcast,GC,0.23,0.18,,0.05,0.01
AC/DC LIVE: Rock Band Track Pack,X360,0.23,0.21,,0.0,0.02
Pinball Hall of Fame: The Gottlieb Collection,PSP,0.23,0.2,,0.01,0.02
Barbie as The Island Princess,GBA,0.23,0.16,,0.06,0.0
Viva Pinata: Party Animals,X360,0.23,0.19,,0.02,0.02
NBA 2K6,X360,0.23,0.21,,0.01,0.02
Dynasty Warriors: Strikeforce,X360,0.23,0.13,0.02,0.06,0.02
WWE All Stars,3DS,0.23,0.15,,0.06,0.02
Virtua Fighter Kids,SAT,0.23,,0.23,,
Mortal Kombat: Armageddon,Wii,0.23,0.19,,0.02,0.02
Meteos,DS,0.23,0.15,0.06,0.01,0.01
F1 2014,X360,0.23,0.08,0.0,0.13,0.02
Starsky & Hutch,XB,0.23,0.17,,0.05,0.01
Valhalla Knights 2,PSP,0.23,0.09,0.12,0.0,0.01
Alundra,PS,0.23,0.13,,0.09,0.01
Lunar Knights,DS,0.23,0.17,0.04,0.01,0.01
Ys Seven,PSP,0.23,0.14,0.08,,0.02
TrackMania: Build to Race,Wii,0.23,0.09,,0.11,0.02
Me & My Katamari,PSP,0.23,0.13,0.08,0.01,
Dragon Quest Builders: Revive Alefgard,NS,0.22,0.07,0.07,0.07,0.01
F1 2016,XOne,0.22,0.09,,0.12,0.02
MotoGP 09/10,PS3,0.22,0.05,,0.13,0.04
TNA iMPACT!,PS2,0.22,0.1,,0.0,0.12
FaceBreaker K.O. Party,Wii,0.22,0.19,,0.01,0.02
Capcom vs. SNK,DC,0.22,,0.22,,
NFL 2K3,GC,0.22,0.17,,0.04,0.01
NBA 06,PSP,0.22,0.2,,,0.02
UFC Personal Trainer: The Ultimate Fitness System,PS3,0.22,0.1,,0.08,0.03
Petz Monkeyz House,DS,0.22,0.2,,0.0,0.02
Rugby 2004,PS2,0.22,0.11,,0.08,0.03
NBA Street: Showdown,PSP,0.22,0.2,,0.0,0.02
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,0.22,0.09,0.11,,0.01
Over G Fighters,X360,0.22,0.19,,0.01,0.02
Life Is Strange: Before the Storm,PS4,0.22,0.11,0.02,0.06,0.03
Last Window: The Secret of Cape West,DS,0.22,,0.09,0.12,0.01
Afrika,PS3,0.22,0.12,0.08,0.0,0.01
Kartia: The Word of Fate,PS,0.22,0.05,0.12,0.03,0.01
Galactic Wrestling: Featuring Ultimate Muscle,PS2,0.22,0.03,0.17,0.02,0.01
Tropico 3,X360,0.22,0.15,0.03,0.02,0.01
Britney's Dance Beat,GBA,0.22,0.15,,0.06,0.0
Hamtaro: Ham-Ham Games,GBA,0.22,0.16,,0.06,0.0
All-Star Baseball 2002,GC,0.22,0.17,,0.04,0.01
Child of Eden,PS3,0.22,0.09,,0.1,0.04
Resident Evil: Revelations,WiiU,0.22,0.09,0.03,0.08,0.02
Disney's Magical Quest Starring Mickey and Minnie,GBA,0.22,0.16,,0.06,0.0
Jackass the Game,PSP,0.22,0.09,,0.08,0.05
Transformers: Dark of the Moon,3DS,0.22,0.16,,0.04,0.02
From Russia With Love,GC,0.22,0.17,,0.04,0.01
G-Force,PS3,0.22,0.13,,0.06,0.03
Duel Masters: Kaijudo Showdown,GBA,0.22,0.16,,0.06,0.0
Danny Phantom: The Ultimate Enemy,GBA,0.22,0.16,,0.06,0.0
Guitar Hero: Smash Hits,PS2,0.22,0.11,,0.01,0.1
Spartan: Total Warrior,PS2,0.22,0.11,,0.09,0.03
G.I. Joe: The Rise of Cobra,Wii,0.22,0.17,,0.03,0.02
Code Name: S.T.E.A.M.,3DS,0.22,0.14,0.02,0.05,0.02
Attack on Titan 2,PS4,0.22,0.09,0.06,0.04,0.03
Deadly Creatures,Wii,0.22,0.08,,0.12,0.02
Super Lucky's Tale,XOne,0.22,0.13,,0.07,0.02
Bust-A-Move 4,PS,0.22,0.12,,0.08,0.01
Tetris Worlds,GC,0.22,0.17,,0.04,0.01
NASCAR 2011: The Game,Wii,0.22,0.21,,,0.01
Star Wars: The Force Unleashed II,DS,0.22,0.17,,0.03,0.02
Magna Carta: Tears of Blood,PS2,0.22,0.11,,0.08,0.03
Luminous Arc 2,DS,0.22,0.2,,0.0,0.02
Ragnarok DS,DS,0.22,0.1,0.11,,0.01
Breath of Fire,GBA,0.22,0.11,0.06,0.04,0.0
Hunted: The Demon's Forge,X360,0.22,0.13,0.0,0.07,0.02
Skies of Arcadia Legends,GC,0.22,0.17,,0.04,0.01
NCAA Football 2003,GC,0.21,0.16,,0.04,0.01
Radiant Historia: Perfect Chronology,3DS,0.21,0.11,0.06,0.03,0.01
Cruis'n Exotica,N64,0.21,0.17,,0.04,0.0
Tiger Woods PGA Tour,PSP,0.21,0.19,,,0.02
Bionicle,GC,0.21,0.16,,0.04,0.01
