title,platform,total_sales,na_sales,jp_sales,pal_sales,other_sales
Forza Motorsport 2,X360,4.05,2.35,0.03,1.27,0.41
Tekken Tag Tournament,PS2,4.05,1.68,0.51,1.51,0.35
Fallout 3,PS3,4.0,2.18,0.07,1.15,0.61
The Elder Scrolls V: Skyrim,PC,3.99,1.18,,2.25,0.56
NBA 2K16,PS4,3.98,2.56,0.05,0.66,0.71
Far Cry 5,PS4,3.95,1.44,0.15,1.73,0.62
Battlefield 4,PS4,3.94,1.4,0.19,1.74,0.62
Assassin's Creed IV: Black Flag,PS3,3.94,1.34,0.13,1.86,0.62
Tony Hawk's Underground,PS2,3.9,2.29,0.01,1.17,0.42
Just Dance 2014,Wii,3.89,1.91,,1.66,0.33
Sports Champions,PS3,3.88,2.15,0.1,1.13,0.5
World Soccer Winning Eleven 8 International,PS2,3.85,0.16,1.12,1.89,0.68
LEGO Indiana Jones: The Original Adventures,X360,3.76,2.4,,1.01,0.36
The Sims: Unleashed,PC,3.76,2.03,,1.56,0.17
Ratchet & Clank: Size Matters,PSP,3.75,1.4,0.1,1.4,0.86
FIFA 17,XOne,3.71,1.04,,2.4,0.27
FIFA Soccer 2005,PS2,3.7,0.58,0.04,2.48,0.59
Tony Hawk's Pro Skater 4,PS2,3.67,2.13,0.01,1.18,0.35
MySims,DS,3.66,1.58,0.08,1.6,0.4
Midnight Club 3: DUB Edition,PSP,3.66,1.65,,1.22,0.79
SOCOM: U.S. Navy SEALs,PS2,3.65,2.53,0.06,0.81,0.24
Battlefield 4,PS3,3.64,1.31,0.27,1.5,0.55
Jak and Daxter: The Precursor Legacy,PS2,3.64,2.08,0.15,1.09,0.33
Pro Evolution Soccer 2008,PS2,3.63,0.05,0.64,0.0,2.93
FIFA Soccer 10,PS3,3.63,0.6,0.05,2.46,0.52
Guitar Hero: World Tour,Wii,3.62,2.32,,0.96,0.34
The Simpsons: Road Rage,PS2,3.61,2.02,,1.17,0.42
Star Wars Battlefront,PS2,3.61,1.93,0.03,1.22,0.44
Doom II,PC,3.61,2.05,,1.4,0.16
Assassin's Creed Syndicate,PS4,3.6,0.9,0.08,2.06,0.55
Star Wars Battlefront II,PS2,3.59,2.18,0.03,1.02,0.37
Cooking Mama 2: Dinner With Friends,DS,3.58,1.6,0.1,1.49,0.39
The Getaway,PS2,3.54,1.23,0.05,1.77,0.49
Tomb Raider III: Adventures of Lara Croft,PS,3.54,1.66,0.12,1.58,0.18
Grand Theft Auto: Liberty City Stories,PS2,3.54,1.56,0.07,1.4,0.5
Battlefield 4,X360,3.54,2.16,0.02,1.05,0.32
Batman: Arkham Asylum,X360,3.54,2.24,0.02,0.95,0.33
Resident Evil 5,X360,3.53,2.13,0.12,0.93,0.34
Assassin's Creed: Brotherhood,X360,3.53,2.87,0.03,0.39,0.25
LEGO Star Wars: The Video Game,PS2,3.53,1.98,0.01,1.14,0.41
FIFA Soccer 11,X360,3.52,0.71,0.02,2.39,0.4
NBA 2K17,PS4,3.52,2.28,0.03,0.59,0.63
FIFA Soccer 2004,PS2,3.49,0.59,0.04,2.36,0.51
Borderlands,X360,3.48,2.43,0.03,0.72,0.3
Battlefield: Bad Company 2,X360,3.48,2.11,0.04,1.01,0.33
Mario & Sonic at the Olympic Winter Games,DS,3.47,1.21,0.27,1.63,0.37
Guitar Hero: On Tour,DS,3.46,2.1,0.01,1.01,0.35
Tekken 4,PS2,3.44,1.55,0.33,1.27,0.29
LEGO Batman: The Videogame,X360,3.44,2.07,,1.04,0.34
Halo: The Master Chief Collection,XOne,3.44,2.06,0.03,1.04,0.31
LittleBigPlanet 2,PS3,3.43,1.83,0.06,1.07,0.47
Grand Theft Auto 2,PS,3.42,1.13,,2.07,0.22
Destiny,XOne,3.41,2.17,,0.92,0.32
Spider-Man 2,PS2,3.41,1.75,0.02,1.2,0.43
Crash Bash,PS,3.39,1.56,0.19,1.47,0.17
