game_id,na_sales,jp_sales,pal_sales,other_sales,total_sales
420,0.59,,0.88,0.22,1.69
421,0.87,0.08,0.66,0.08,1.69
422,1.52,,0.12,0.05,1.69
423,0.8,0.01,0.7,0.18,1.69
424,0.9,,0.47,0.32,1.68
425,0.38,0.33,0.87,0.1,1.68
426,0.85,0.02,0.68,0.14,1.68
427,0.88,0.02,0.54,0.24,1.68
428,0.96,0.08,0.42,0.21,1.67
429,1.08,,0.45,0.14,1.67
430,1.35,,0.09,0.23,1.67
431,0.97,0.04,0.59,0.07,1.67
432,0.93,,0.56,0.16,1.66
433,0.76,0.02,0.69,0.18,1.65
434,0.9,0.04,0.54,0.17,1.65
435,1.09,0.02,0.37,0.16,1.64
436,0.71,0.32,0.48,0.11,1.63
437,0.53,0.13,0.71,0.25,1.62
438,0.44,0.07,0.86,0.25,1.62
439,0.58,,0.82,0.23,1.62
440,0.99,,0.41,0.22,1.62
441,1.02,0.0,0.46,0.14,1.62
442,0.98,,0.48,0.15,1.61
443,0.82,0.03,0.6,0.15,1.6
444,0.59,0.02,0.83,0.17,1.6
445,0.04,0.32,1.1,0.13,1.59
446,0.61,0.46,0.41,0.1,1.59
447,0.95,,0.5,0.14,1.59
448,0.72,0.02,0.69,0.18,1.59
449,0.6,0.02,0.72,0.25,1.59
450,0.59,,0.88,0.12,1.59
451,0.58,0.34,0.45,0.2,1.58
452,0.73,,0.69,0.15,1.57
453,0.1,0.12,0.18,1.16,1.57
454,1.32,,0.19,0.05,1.56
455,1.06,,0.31,0.19,1.56
456,0.85,,0.55,0.15,1.56
457,1.13,0.02,0.38,0.03,1.55
458,0.92,,0.48,0.15,1.55
459,0.85,0.02,0.46,0.22,1.55
460,0.62,0.01,0.79,0.12,1.54
461,0.85,,0.58,0.1,1.54
462,0.83,0.08,0.44,0.19,1.54
463,0.42,0.33,0.66,0.13,1.54
464,0.92,,0.4,0.2,1.52
465,0.44,,0.7,0.37,1.52
466,0.58,0.01,0.81,0.12,1.52
467,0.94,,0.44,0.13,1.52
468,0.6,0.03,0.63,0.26,1.51
